"id","session_id","user_id","message","role","created_at","articles_retrieved","top_confidence","retrieval_count","request_time","response_time","processing_ms"
14,"session-005","swati","The rules for the notice period according to Kuwait Labour Law are as follows:

- In the case of a contract of an unlimited period, either party can terminate it by giving notice in writing:
  - The notice period should be at least three months before termination for monthly salary labourers and at least one month before termination for other types of labourers.
  - Failure to adhere to the notice period may require the party terminating the contract to pay an amount equal to the labourer's salary for the same period (Article 44).
  - If the termination notice is issued by the employer, the labourer has the right to be absent from work for a day within a week or eight hours during the week to search for another job, with entitlement to wages for the absent day or hours (Article 44).
- If either party of a collective employment contract does not wish to renew it after the term expires, they must inform the other party and the competent Ministry in writing at least three months before the contract's expiry date (Article 114).
- In cases where a labourer discontinues work without acceptable reasons for seven consecutive days or twenty interrupted days within a year, the employer may consider the labourer legally resigned, with the provisions of Article 53 on terminal service indemnity applying (Article 42).

These guidelines outline the rules related to the notice period in Kuwait Labour Law. If you require more specific details or have further questions, please let me know.","assistant","2026-04-18 16:38:24.450451",NULL,NULL,NULL,NULL,NULL,NULL
15,"session-003","sr"," The minimum wage in Kuwait is determined by the Minister every five years according to the nature of the profession and trade, taking into account inflation rates in the country. This information is mentioned in Article 63 of the Kuwait Labour Law.","assistant","2026-04-18 19:58:05.619141","[""Preamble"",""Article 99"",""Article 49"",""Article 150"",""Article 140"",""Article 55"",""Article 141"",""Article 63"",""Article 1"",""Article 138""]",0.511585653,10,"2026-04-18 16:48:45.736","2026-04-18 16:58:05.616",559873
16,"session-003","sr"," The minimum wage in Kuwait is determined by the Minister every five years based on the nature of the profession and trade, considering the inflation rates in the country. This information is outlined in Article 63 of the Kuwait Labour Law.","assistant","2026-04-18 19:58:47.851434","[""Preamble"",""Article 99"",""Article 49"",""Article 150"",""Article 140"",""Article 55"",""Article 141"",""Article 63"",""Article 1"",""Article 138""]",0.511585653,10,"2026-04-18 16:58:40.73","2026-04-18 16:58:47.848",7117
17,"phase5-final-001","swati-test"," The probation period for new employees in Kuwait shall be specified in the work contract, not exceeding one hundred working days. During this period, either the employer or the employee can terminate the contract without notice. This is regulated by Article 32 of Kuwait Labour Law No. 6 of 2010.","assistant","2026-04-18 20:57:50.274418","[""Article 32"",""Article 18"",""Article 30"",""Article 11"",""Article 12"",""Article 1"",""Article 13"",""Article 70"",""Article 134"",""Article 35""]",0.561172366,10,"2026-04-18 17:57:42.138","2026-04-18 17:57:50.272",8133
18,"phase5-final-001","swati-test"," The probationary period for new employees in Kuwait should be specified in the work contract and must not exceed one hundred working days. This is outlined in Article 32 of Kuwait Labour Law No. 6 of 2010.","assistant","2026-04-18 21:02:22.040945","[""Article 32"",""Article 18"",""Article 30"",""Article 11"",""Article 12"",""Article 1"",""Article 13"",""Article 70"",""Article 134"",""Article 35""]",0.561172366,10,"2026-04-18 18:02:08.023","2026-04-18 18:02:22.039",14015
19,"phase5-final-001","swati-test"," The probationary period for new employees is determined by the work contract and should not exceed one hundred working days as per Article 32 of Kuwait Labour Law No. 6 of 2010. During this period, either the employer or the employee can terminate the contract without notice.","assistant","2026-04-18 21:03:03.83158","[""Article 32"",""Article 18"",""Article 30"",""Article 11"",""Article 12"",""Article 1"",""Article 13"",""Article 70"",""Article 134"",""Article 35""]",0.561172366,10,"2026-04-18 18:02:52.165","2026-04-18 18:03:03.829",11663
20,"phase5-final-001","swati-test"," The probationary period for new employees specified in the work contract should not exceed one hundred working days, as mentioned in Article 32 of Kuwait Labour Law No. 6 of 2010. During this time, either party can terminate the contract without notice.","assistant","2026-04-18 21:03:16.607078","[""Article 32"",""Article 18"",""Article 30"",""Article 11"",""Article 12"",""Article 1"",""Article 13"",""Article 70"",""Article 134"",""Article 35""]",0.561172366,10,"2026-04-18 18:03:09.358","2026-04-18 18:03:16.603",7245
21,"phase5-final-001","swati-test"," The probationary period for new employees as specified in the work contract should not exceed one hundred working days, according to Article 32 of Kuwait Labour Law No. 6 of 2010.","assistant","2026-04-18 21:03:25.105927","[""Article 32"",""Article 18"",""Article 30"",""Article 11"",""Article 12"",""Article 1"",""Article 13"",""Article 70"",""Article 134"",""Article 35""]",0.561172366,10,"2026-04-18 18:03:17.837","2026-04-18 18:03:25.103",7266
22,"phase5-final-001","swati-test"," The probationary period for new employees in Kuwait as per the Kuwait Labour Law is to be specified in the work contract and should not exceed one hundred working days (Article 32). During this period, either the employer or the employee can terminate the contract without notice.","assistant","2026-04-18 21:03:34.851287","[""Article 32"",""Article 18"",""Article 30"",""Article 11"",""Article 12"",""Article 1"",""Article 13"",""Article 70"",""Article 134"",""Article 35""]",0.561172366,10,"2026-04-18 18:03:25.954","2026-04-18 18:03:34.848",8891
23,"phase5-final-001","swati-test"," The probationary period for new employees, as outlined in the Kuwait Labour Law, should be specified in the work contract and should not exceed one hundred working days (Article 32). During this period, either party can terminate the contract without notice.","assistant","2026-04-18 21:03:50.330278","[""Article 32"",""Article 18"",""Article 30"",""Article 11"",""Article 12"",""Article 1"",""Article 13"",""Article 70"",""Article 134"",""Article 35""]",0.561172366,10,"2026-04-18 18:03:35.791","2026-04-18 18:03:50.327",14536
24,"phase5-final-001","swati-test"," The probationary period for new employees in Kuwait should be specified in the work contract and should not exceed one hundred working days as per Article 32 of the Kuwait Labour Law. During this period, either party can terminate the contract without notice.","assistant","2026-04-18 21:04:02.30733","[""Article 32"",""Article 18"",""Article 30"",""Article 11"",""Article 12"",""Article 1"",""Article 13"",""Article 70"",""Article 134"",""Article 35""]",0.561172366,10,"2026-04-18 18:03:51.568","2026-04-18 18:04:02.304",10736
25,"phase5-final-001","swati-test"," The probationary period for new employees in Kuwait, as per the Kuwait Labour Law Article 32, should be specified in the work contract and should not exceed one hundred working days. During this period, either the employer or the employee can terminate the contract without notice.","assistant","2026-04-18 21:04:21.347881","[""Article 32"",""Article 18"",""Article 30"",""Article 11"",""Article 12"",""Article 1"",""Article 13"",""Article 70"",""Article 134"",""Article 35""]",0.561172366,10,"2026-04-18 18:04:05.244","2026-04-18 18:04:21.345",16100
26,"phase5-final-001","swati-test"," The probationary period for new employees in Kuwait, according to the Kuwait Labour Law Article 32, should be specified in the work contract and should not exceed one hundred working days. During this period, either party has the right to terminate the contract without notice.","assistant","2026-04-18 21:04:32.41926","[""Article 32"",""Article 18"",""Article 30"",""Article 11"",""Article 12"",""Article 1"",""Article 13"",""Article 70"",""Article 134"",""Article 35""]",0.561172366,10,"2026-04-18 18:04:23.878","2026-04-18 18:04:32.416",8537
27,"phase5-final-001","swati-test"," The probationary period for new employees in Kuwait is specified in the work contract and should not exceed one hundred working days, as per Article 32 of the Kuwait Labour Law. During this period, either party has the right to terminate the contract without notice.","assistant","2026-04-18 21:04:45.521455","[""Article 32"",""Article 18"",""Article 30"",""Article 11"",""Article 12"",""Article 1"",""Article 13"",""Article 70"",""Article 134"",""Article 35""]",0.561172366,10,"2026-04-18 18:04:34.667","2026-04-18 18:04:45.519",10851
28,"phase5-final-001","swati-test"," The probationary period for new employees in Kuwait is specified in the work contract and should not exceed one hundred working days, as stated in Article 32 of the Kuwait Labour Law. During this period, either party can terminate the contract without notice.","assistant","2026-04-18 21:05:01.729228","[""Article 32"",""Article 18"",""Article 30"",""Article 11"",""Article 12"",""Article 1"",""Article 13"",""Article 70"",""Article 134"",""Article 35""]",0.561172366,10,"2026-04-18 18:04:46.587","2026-04-18 18:05:01.727",15140
29,"phase5-final-001","swati-test"," The probationary period for new employees in Kuwait should be specified in the work contract and not exceed one hundred working days as per Article 32 of the Kuwait Labour Law. During this period, either party can terminate the contract without notice.","assistant","2026-04-18 21:05:13.336277","[""Article 32"",""Article 18"",""Article 30"",""Article 11"",""Article 12"",""Article 1"",""Article 13"",""Article 70"",""Article 134"",""Article 35""]",0.561064422,10,"2026-04-18 18:05:03.397","2026-04-18 18:05:13.334",9936
30,"phase5-final-001","swati-test"," The probationary period for new employees in Kuwait is specified in the work contract and should not exceed one hundred working days, as outlined in Article 32 of the Kuwait Labour Law. During this period, either the employer or the employee can terminate the contract without notice.","assistant","2026-04-18 21:05:25.762707","[""Article 32"",""Article 18"",""Article 30"",""Article 11"",""Article 12"",""Article 1"",""Article 13"",""Article 70"",""Article 134"",""Article 35""]",0.561064422,10,"2026-04-18 18:05:14.621","2026-04-18 18:05:25.76",11139
31,"phase5-final-001","swati-test"," The probationary period for new employees in Kuwait should be specified in the work contract and should not exceed one hundred working days, as per Article 32 of the Kuwait Labour Law. During this period, either party can terminate the contract without notice.","assistant","2026-04-18 21:05:33.626796","[""Article 32"",""Article 18"",""Article 30"",""Article 11"",""Article 12"",""Article 1"",""Article 13"",""Article 70"",""Article 134"",""Article 35""]",0.561172366,10,"2026-04-18 18:05:26.964","2026-04-18 18:05:33.624",6659
32,"phase5-final-001","swati-test"," The probationary period for new employees in Kuwait should be specified in the work contract and should not exceed one hundred working days, as stated in Article 32 of the Kuwait Labour Law. During this period, either party can terminate the contract without notice.","assistant","2026-04-18 21:05:42.526393","[""Article 32"",""Article 18"",""Article 30"",""Article 11"",""Article 12"",""Article 1"",""Article 13"",""Article 70"",""Article 134"",""Article 35""]",0.561064422,10,"2026-04-18 18:05:34.974","2026-04-18 18:05:42.523",7549
33,"phase5-final-001","swati-test"," The probationary period for new employees in Kuwait should be specified in the work contract and should not exceed one hundred working days, according to Article 32 of the Kuwait Labour Law. During this period, either party can terminate the contract without notice.","assistant","2026-04-18 21:05:50.190089","[""Article 32"",""Article 18"",""Article 30"",""Article 11"",""Article 12"",""Article 1"",""Article 13"",""Article 70"",""Article 134"",""Article 35""]",0.561172366,10,"2026-04-18 18:05:43.902","2026-04-18 18:05:50.188",6285
34,"phase5-final-001","swati-test"," The probationary period for new employees in Kuwait should be specified in the work contract and should not exceed one hundred working days, according to Article 32 of the Kuwait Labour Law. Either the employer or the employee can terminate the contract during the probation period without notice.","assistant","2026-04-18 21:06:00.442399","[""Article 32"",""Article 18"",""Article 30"",""Article 11"",""Article 12"",""Article 1"",""Article 13"",""Article 70"",""Article 134"",""Article 35""]",0.561172366,10,"2026-04-18 18:05:51.887","2026-04-18 18:06:00.44",8551
35,"phase5-final-001","swati-test"," The probationary period for new employees in Kuwait should not exceed one hundred working days, as specified in the work contract under Article 32 of the Kuwait Labour Law. During this period, either party can terminate the contract without notice.","assistant","2026-04-18 21:06:09.055533","[""Article 32"",""Article 18"",""Article 30"",""Article 11"",""Article 12"",""Article 1"",""Article 13"",""Article 70"",""Article 134"",""Article 35""]",0.561172366,10,"2026-04-18 18:06:01.576","2026-04-18 18:06:09.051",7474
